message,anomaly_score,is_anomaly,rule_based_flag,is_whitelisted,combined_anomaly,confidence_score,explanation
2025-04-27 18:42:33 log_channel(cluster) log [INF] : snapshot 862 created,1.8812690427694179e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:44:52 log_channel(cluster) log [DBG] : scrub starts,2.929682068497641e-06,False,False,True,False,0.0001,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:01 log_channel(rgw) log [INF] : RGW user 'user-12' authenticated successfully,4.004679112767917e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:40 log_channel(mon) log [ERR] : authentication failure for monitor 4,3.2223675816567265e-07,False,True,False,True,0.0,"This log shows unusual patterns with tokens: '4' (uncommon usage), 'failure' (uncommon usage), '18' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
2025-04-27 18:44:15 log_channel(rgw) log [INF] : RGW user 'user-4' authenticated successfully,4.917370688417577e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:27 log_channel(cluster) log [WRN] : OSD 3 is down: I/O error,0.006195561960339546,True,True,False,True,0.2085,"This log shows unusual patterns with tokens: 'i' (uncommon usage), '##n' (uncommon usage), 'o' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
2025-04-27 18:45:36 log_channel(cluster) log [DBG] : recovery completed for PG 103,3.222367013222538e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:45 log_channel(cluster) log [INF] : RADOS operation completed for pool 704,1.2963590734216268e-06,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:20 log_channel(pg) log [DBG] : PG 148 is clean,4.76832667573035e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:10 log_channel(rgw) log [DBG] : RGW bucket index updated for bucket 'bucket-14',1.2926429917570204e-06,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:42:35 log_channel(cluster) log [DBG] : scrub starts,3.1270844829123234e-06,False,False,True,False,0.0001,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
"2025-04-27 18:43:54 log_channel(cluster) log [INF] : mon.3 quorum formed with mons: mon.3,mon.1,mon.0",7.711309990554582e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:44:18 log_channel(cluster) log [INF] : client reconnect complete,0.001475412747822702,False,False,True,False,0.0497,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:17 log_channel(rgw) log [INF] : RGW user 'user-24' authenticated successfully,4.7311078787970473e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:35 log_channel(cluster) log [INF] : RADOS operation completed for pool 216,1.3391983202382107e-06,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:42:38 log_channel(cluster) log [INF] : RADOS operation completed for pool 497,1.152942786575295e-06,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:19 log_channel(rbd) log [INF] : RBD image 'rbd-image-5' mapped to /dev/rbd5,1.5348105080192909e-06,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:24 log_channel(client) log [INF] : client 3843 executed command auth list successfully,7.450464067915163e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:02 log_channel(osd) log [CRIT] : full OSD 8 [no_space_left],0.00017602027219254524,True,True,False,True,0.0059,"This log shows unusual patterns with tokens: 'left' (uncommon usage), 'space' (uncommon usage), 'no' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
2025-04-27 18:45:26 log_channel(rbd) log [DBG] : RBD snapshot 'snap-810' created for image 'rbd-image-8',0.00021774531342089176,False,False,True,False,0.0073,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:42:57 log_channel(mon) log [INF] : no pending health issues,0.00021586037473753095,False,False,True,False,0.0073,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
"2025-04-27 18:43:30 log_channel(cluster) log [INF] : mon.1 quorum formed with mons: mon.1,mon.2,mon.0",9.182746225633309e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:46:17 log_channel(mon) log [INF] : MON 0 beacon received,4.582081487569667e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:45 log_channel(cluster) log [WRN] : OSD 10 is down: no heartbeat,0.002987931715324521,True,True,False,True,0.1006,"This log shows unusual patterns with tokens: '##n' (uncommon usage), 'wr' (uncommon usage), 'no' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
2025-04-27 18:44:05 log_channel(cluster) log [DBG] : auto-scaler adjusted PG count for pool 660,1.6763786447882012e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:57 log_channel(cluster) log [DBG] : scrub starts,3.2351001664210344e-06,False,False,True,False,0.0001,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:15 log_channel(network) log [DBG] : heartbeat received from mon.2,1.4528615110975807e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
"2025-04-27 18:42:00 log_channel(cluster) log [DBG] : pgmap v9495: 154 pgs: 33 peering, 234 active+clean; 85141 KiB data, 90 GiB used, 51 GiB avail",5.1935123337898403e-05,False,False,True,False,0.0017,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:43:10 log_channel(cluster) log [DBG] : recovery completed for PG 494,2.887090317926777e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:46:34 log_channel(cluster) log [INF] : osd 0 is healthy,8.940691031966708e-08,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:04 log_channel(mds) log [INF] : MDS.0 session with client.6990 established,0.0004536417545750737,False,False,True,False,0.0153,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:05 log_channel(osd) log [ERR] : read error from OSD 4 [pg=336],0.0006884764297865331,True,True,False,True,0.0232,"This log shows unusual patterns with tokens: 'read' (uncommon usage), '=' (uncommon usage), '336' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
2025-04-27 18:40:05 log_channel(cluster) log [DBG] : OSD 6 backfill completed,0.0008133053197525442,False,False,True,False,0.0274,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:11 log_channel(mon) log [INF] : config update committed,0.0006986808148212731,False,False,True,False,0.0235,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:53 log_channel(cluster) log [DBG] : heartbeat from OSD 4,2.3469276300147612e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:40 log_channel(cluster) log [INF] : reweight-by-utilization applied,0.0007856887532398105,False,False,True,False,0.0264,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:44:42 log_channel(mgr) log [INF] : mgr module reload succeeded,0.0003219570207875222,False,False,True,False,0.0108,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:34 log_channel(cluster) log [DBG] : recovery completed on osd.5,2.328303310150659e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:46:11 log_channel(client) log [INF] : object read completed by client 2757,0.0005876211798749864,False,False,True,False,0.0198,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
"2025-04-27 18:41:22 log_channel(client) log [ERR] : failed to write object [client=3241, reason=stale_session]",0.029702549800276756,True,True,False,True,0.9997,"This log shows unusual patterns with tokens: 'session' (uncommon usage), '=' (uncommon usage), 'reason' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
2025-04-27 18:40:35 log_channel(rbd) log [DBG] : RBD snapshot 'snap-425' created for image 'rbd-image-10',0.0003643115342129022,False,False,True,False,0.0123,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
"2025-04-27 18:44:47 log_channel(cluster) log [INF] : mon.1 quorum formed with mons: mon.3,mon.2,mon.4",3.0596453143516555e-05,False,False,True,False,0.001,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:30 log_channel(mds) log [DBG] : MDS.0 is exporting namespace to rank 1,6.162068893900141e-05,False,False,True,False,0.0021,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:46:03 log_channel(cluster) log [DBG] : heartbeat from OSD 7,1.2479713973334583e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:44:21 log_channel(cluster) log [DBG] : MDS startup completed,5.2699884690809995e-05,False,False,True,False,0.0018,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:47 log_channel(cluster) log [DBG] : recovery completed for PG 686,3.036104203602008e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
"2025-04-27 18:45:50 log_channel(cluster) log [DBG] : osdmap 104: 12 total, 7 up",7.2189955062640365e-06,False,False,True,False,0.0002,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:31 log_channel(cluster) log [INF] : osd 9 is healthy,1.3969824408377463e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:55 log_channel(cluster) log [INF] : RADOS operation completed for pool 563,1.1510811646076036e-06,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:46:21 log_channel(cluster) log [INF] : client reconnect complete,0.0014218547148630023,False,False,True,False,0.0479,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:44:40 log_channel(rbd) log [INF] : RBD unmap operation for image 'rbd-image-3' completed successfully,2.108464968841872e-06,False,False,True,False,0.0001,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:02 log_channel(cluster) log [DBG] : recovery completed on osd.7,2.384182096193399e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:42:46 log_channel(client) log [INF] : object read completed by client 7567,0.000561440538149327,False,False,True,False,0.0189,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
"2025-04-27 18:41:30 log_channel(cluster) log [INF] : mon.4 quorum formed with mons: mon.3,mon.0,mon.4",4.902014188701287e-05,False,False,True,False,0.0016,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:51 log_channel(cluster) log [INF] : osd 0 is healthy,1.0430805730266002e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:09 log_channel(mds) log [DBG] : MDS.0 is exporting namespace to rank 0,6.015425969962962e-05,False,False,True,False,0.002,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:42:58 log_channel(cluster) log [INF] : osd 2 is healthy,1.4342353438223654e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:42:20 log_channel(cluster) log [DBG] : scrub ok,1.005827670041981e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
"2025-04-27 18:41:15 log_channel(cluster) log [INF] : mon.0 quorum formed with mons: mon.0,mon.3,mon.2",9.722903087094892e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
"2025-04-27 18:42:54 log_channel(cluster) log [DBG] : pgmap v7096: 484 pgs: 4 peering, 265 active+clean; 90666 KiB data, 43 GiB used, 6 GiB avail",5.066554149379954e-05,False,False,True,False,0.0017,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:53 log_channel(rgw) log [INF] : RGW op success: DELETE /bucket-1/object-946.bin,1.755017183313612e-05,False,False,True,False,0.0006,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:43:31 log_channel(rbd) log [INF] : RBD image 'rbd-image-3' mapped to /dev/rbd9,1.4845199984847568e-06,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:36 log_channel(mgr) log [INF] : mgr module reload succeeded,0.00032174660009332,False,False,True,False,0.0108,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:43:33 log_channel(cluster) log [DBG] : heartbeat from OSD 4,2.5145649829028116e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
"2025-04-27 18:43:08 log_channel(cluster) log [DBG] : pgmap v5777: 303 pgs: 34 peering, 327 active+clean; 69464 KiB data, 24 GiB used, 51 GiB avail",5.170810254639946e-05,False,False,True,False,0.0017,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:45 log_channel(network) log [DBG] : heartbeat received from mon.5,1.78813678530787e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:46:52 log_channel(mon) log [INF] : no pending health issues,0.0002006341383093968,False,False,True,False,0.0067,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:57 log_channel(cluster) log [INF] : snapshot 599 created,1.2293448037326016e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:56 log_channel(rgw) log [DBG] : RGW bucket index updated for bucket 'bucket-2',1.3671456144948024e-06,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:42:28 log_channel(cluster) log [DBG] : auto-scaler adjusted PG count for pool 570,2.8160864076198777e-06,False,False,True,False,0.0001,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:43:11 log_channel(rbd) log [DBG] : RBD snapshot 'snap-661' created for image 'rbd-image-3',9.352374036097899e-05,False,False,True,False,0.0031,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:43:27 log_channel(cluster) log [DBG] : recovery completed on osd.10,2.2351707684720168e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:44:31 log_channel(rbd) log [INF] : RBD unmap operation for image 'rbd-image-7' completed successfully,2.0209242848068243e-06,False,False,True,False,0.0001,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:39:43 log_channel(cluster) log [DBG] : heartbeat from OSD 1,1.3038506097018399e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:42:42 log_channel(mon) log [INF] : MON 0 beacon received,4.526200996224361e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
"2025-04-27 18:45:54 log_channel(cluster) log [DBG] : osdmap 146: 10 total, 9 up",4.546353011392057e-06,False,False,True,False,0.0002,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:43:03 log_channel(mgr) log [INF] : mgr module reload succeeded,0.00031609428697265685,False,False,True,False,0.0106,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:46:48 log_channel(cluster) log [DBG] : heartbeat from OSD 5,1.8253901146181306e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:34 log_channel(cluster) log [ERR] : OSD 7 failure: unable to recover data from 777,0.004052570089697838,True,True,False,True,0.1364,"This log shows unusual patterns with tokens: 'recover' (uncommon usage), 'from' (uncommon usage), '7' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
2025-04-27 18:44:54 log_channel(cluster) log [DBG] : MDS startup completed,5.2463165047811344e-05,False,False,True,False,0.0018,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:46:53 log_channel(pg) log [DBG] : PG 451 is clean,1.1362126883796009e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:50 log_channel(rbd) log [INF] : RBD unmap operation for image 'rbd-image-2' completed successfully,2.0246491203579353e-06,False,False,True,False,0.0001,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:52 log_channel(cluster) log [INF] : reweight-by-utilization applied,0.000718572991900146,False,False,True,False,0.0242,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:28 log_channel(pg) log [DBG] : PG 721 scrub completed,1.7136318319899146e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:28 log_channel(mon) log [ERR] : election timeout for monitor 5,0.0006884865579195321,True,True,False,True,0.0232,"This log shows unusual patterns with tokens: '##out' (uncommon usage), 'time' (uncommon usage), '5' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
"2025-04-27 18:41:13 log_channel(cluster) log [ERR] : OSD 6 cannot find disk, going into error state",2.29105140192587e-07,False,True,False,True,0.0,"This log shows unusual patterns with tokens: '6' (uncommon usage), ',' (uncommon usage), '13' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
"2025-04-27 18:46:35 log_channel(cluster) log [DBG] : pgmap v5794: 190 pgs: 13 peering, 82 active+clean; 50737 KiB data, 76 GiB used, 43 GiB avail",5.354907625587657e-05,False,False,True,False,0.0018,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:19 log_channel(cluster) log [DBG] : auto-scaler adjusted PG count for pool 289,2.1047844711574726e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:43:49 log_channel(mds) log [INF] : MDS.3 session with client.7015 established,0.0005532657960429788,False,False,True,False,0.0186,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:59 log_channel(cluster) log [ERR] : OSD 5 failed to recover from 611 after 91s,0.0055320109240710735,True,True,False,True,0.1862,"This log shows unusual patterns with tokens: 'recover' (uncommon usage), 'after' (uncommon usage), '91' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
2025-04-27 18:43:59 log_channel(rbd) log [INF] : RBD unmap operation for image 'rbd-image-5' completed successfully,2.028377821261529e-06,False,False,True,False,0.0001,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:19 log_channel(mon) log [INF] : no pending health issues,0.00021750765154138207,False,False,True,False,0.0073,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:39:49 log_channel(rbd) log [INF] : RBD unmap operation for image 'rbd-image-4' completed successfully,2.0972931906726444e-06,False,False,True,False,0.0001,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:46:49 log_channel(cluster) log [INF] : snapshot 817 created,1.1548391398719104e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:40 log_channel(mgr) log [INF] : mgr module reload succeeded,0.0003314651839900762,False,False,True,False,0.0112,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:23 log_channel(mon) log [CRIT] : monitor 0 clock skew detected,0.00011414573236834258,False,True,False,True,0.0038,"This log shows unusual patterns with tokens: 'sk' (uncommon usage), 'clock' (uncommon usage), '##ew' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
2025-04-27 18:41:48 log_channel(mon) log [INF] : config update committed,0.0007015357259660959,False,False,True,False,0.0236,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:22 log_channel(rbd) log [INF] : RBD unmap operation for image 'rbd-image-6' completed successfully,2.013475068451953e-06,False,False,True,False,0.0001,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:42:14 log_channel(cluster) log [INF] : osd 3 is healthy,1.4156088923300558e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:44:16 log_channel(rgw) log [INF] : RGW op success: PUT /bucket-1/object-747.bin,1.9788782083196566e-05,False,False,True,False,0.0007,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:18 log_channel(cluster) log [DBG] : heartbeat from OSD 5,1.9557751329557505e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:03 log_channel(mon) log [INF] : no pending health issues,0.0002097511460306123,False,False,True,False,0.0071,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:44:55 log_channel(cluster) log [INF] : osd 1 is healthy,1.1920919007479824e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:27 log_channel(cluster) log [DBG] : MDS startup completed,5.230880560702644e-05,False,False,True,False,0.0018,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:15 log_channel(mon) log [INF] : config update committed,0.0006758575327694416,False,False,True,False,0.0227,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:41:11 log_channel(pg) log [INF] : PG 418 active and clean,1.2107184943488392e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:44:00 log_channel(mds) log [DBG] : MDS.2 updated inode cache size: 82107,2.3561808575323084e-06,False,False,True,False,0.0001,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:42:25 log_channel(cluster) log [INF] : snapshot 162 created,8.329447155119851e-06,False,False,True,False,0.0003,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
"2025-04-27 18:41:12 log_channel(cluster) log [INF] : mon.3 quorum formed with mons: mon.4,mon.3,mon.1",0.000261572451563552,False,False,True,False,0.0088,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:46:40 log_channel(pg) log [DBG] : PG 345 scrub completed,1.452861937423222e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
"2025-04-27 18:41:17 log_channel(cluster) log [ERR] : OSD 1 failure: disk full, unable to write data",1.5087411497916037e-07,False,True,False,True,0.0,"This log shows unusual patterns with tokens: '18' (uncommon usage), '27' (uncommon usage), '1' (uncommon usage). These contributed significantly to the anomaly score. It was flagged as anomalous because of high model loss and/or matching critical keywords."
"2025-04-27 18:44:49 log_channel(cluster) log [DBG] : osdmap 179: 18 total, 10 up",0.00010199828102486208,False,False,True,False,0.0034,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:52 log_channel(cluster) log [DBG] : recovery completed for PG 787,2.6635760264070996e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:43:13 log_channel(network) log [DBG] : heartbeat received from mon.0,1.5273677433924604e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:39:52 log_channel(pg) log [INF] : PG 279 active and clean,1.806762668365991e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:43:26 log_channel(rbd) log [INF] : RBD unmap operation for image 'rbd-image-7' completed successfully,1.9426979633863084e-06,False,False,True,False,0.0001,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:51 log_channel(pg) log [DBG] : PG 477 scrub completed,1.2293449458411487e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:45:58 log_channel(rgw) log [INF] : RGW user 'user-14' authenticated successfully,4.507591881974804e-07,False,False,True,False,0.0,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
2025-04-27 18:40:04 log_channel(cluster) log [DBG] : MDS startup completed,4.821807669941336e-05,False,False,True,False,0.0016,No anomaly detected in this log. The content aligns with expected patterns for normal operations.
